index	arabish	class	words	tokens	pos	lem
22084	.	arabizi	.	.	PUNC	PUNC
22085	IKAMEL	arabizi	يكمل	يكمل	IV3MS-IV	كمل
22086	wa7da	arabizi	واحدة	واحدة	ADJ-NSUFF_FEM_SG	واحد
22087	mte3	arabizi	متاع	متاع	PREP	متاع
22088	essbe7	arabizi	الصباح	ال+صباح	DET+NOUN	صباح
22089	.	arabizi	.	.	PUNC	PUNC
22090	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22091	hetha	arabizi	هاذا	هاذا	DEM_PRON_3MS	هاذا
22092	lbe9i	arabizi	الباقي	ال+باقي	DET+ADJ	باقي
22093	mte3k	arabizi	متاعك	متاع+ك	PREP+PRON_2S	متاع
22094	,	arabizi	،	،	PUNC	PUNC
22095	Sidi	arabizi	سيدي	سيد+ي	NOUN+POSS_PRON_1S	سيدي
22096	.	arabizi	.	.	PUNC	PUNC
22097	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22098	Mnine	arabizi	منين	من+وين	PREP+INTERROG_PRON	منين
22099	najem	arabizi	نجّم	نجّم	IV1S-IV	نجّم
22100	ne5ou	arabizi	ناخو	ناخو	IV1S-IV	خذى
22101	teskra	arabizi	تسكرة	تسكرة	NOUN-NSUFF_FEM_SG	تسكرة
22102	tayara	arabizi	طيارة	طيارة	NOUN-NSUFF_FEM_SG	طيارة
22103	bsoum	arabizi	بسوم	ب+سوم	PREP+NOUN	سوم
22104	ma3koul	arabizi	معقول	معقول	ADJ	معقول
22105	?	arabizi	؟	؟	PUNC	PUNC
22106	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22107	win	arabizi	وين	وين	REL_ADV	وين
22108	kountouar	arabizi	كونتوار	كونتوار	NOUN	كونتوار
22109	lakssouarat	arabizi	الاكسسوارات	ال+اكسسوارات	DET+NOUN-NSUFF_FEM_PL	اكسسوار
22110	?	arabizi	؟	؟	PUNC	PUNC
22111	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22112	galou	arabizi	قالوا	قالوا	PV-PVSUFF_SUBJ:3P	قال
22113	ta7t	arabizi	تحت	تحت	PREP	تحت
22114	essfar	arabizi	الصفر	ال+صفر	DET+NOUN	صفر
22115	.	arabizi	.	.	PUNC	PUNC
22116	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22117	en7eb	arabizi	نحبّ	نحبّ	IV1S-IV	حبّ
22118	n5alles	arabizi	نخلص	نخلّص	IV1S-IV	خلّص
22119	5amsine	arabizi	خمسين	خمسين	NOUN_NUM	خمسين
22120	doular	arabizi	دولار	دولار	NOUN	دولار
22121	w3achrine	arabizi	وعشرين	و+عشرين	CONJ+NOUN_NUM	عشرين
22122	alf	arabizi	الف	الف	NOUN_NUM	الف
22123	lilin	arabizi	للين	ل+لين	PREP+NOUN_PROP	لين
22124	yabeni	arabizi	ياباني	ياباني	ADJ	ياباني
22125	belmizen	arabizi	بالميزان	ب+ال+ميزان	PREP+DET+NOUN	ميزان
22126	.	arabizi	.	.	PUNC	PUNC
22127	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22128	3andik	arabizi	عندك	عند+ك	PREP+PRON_2S	عند
22129	moudil	arabizi	موديل	موديل	NOUN	موديل
22130	?	arabizi	؟	؟	PUNC	PUNC
22131	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22132	tnajjem	arabizi	تنجّم	تنجّم	IV2S-IV	نجّم
22133	twarrini	arabizi	توريني	تورّي+ني	CV2S-CV+CVSUFF_DO:1S	ورّى
22134	kifech	arabizi	كيفاش	كيفاش	INTERROG_ADV	كيفاش
22135	nal3eb	arabizi	نلعب	نلعب	IV1S-IV	لعب
22136	elé3ba	arabizi	اللعبة	ال+لعبة	DET+NOUN-NSUFF_FEM_SG	لعبة
22137	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
22138	?	arabizi	؟	؟	PUNC	PUNC
22139	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22140	5ater	nan	خاطر	خاطر	SUB_CONJ	خاطر
22141	fi	nan	في	في	PREP	في
22142	amrika	nan	امريكا	امريكا	NOUN_PROP	امريكا
22143	,	nan	،	،	PUNC	PUNC
22144	sehel	nan	ساهل	ساهل	ADV	ساهل
22145	bech	nan	باش	باش	FUT_PART	باش
22146	todkol	nan	تدخل	تدخل	IV2S-IV	دخل
22147	leljami3a	nan	للجامعة	ل+ال+جامعة	PREP+DET+NOUN-NSUFF_FEM_SG	جامعة
22148	ama	nan	اما	اما	CONJ	اما
22149	s3ib	nan	صعيب	صعيب	ADV	صعيب
22150	bech	nan	باش	باش	FUT_PART	باش
22151	tet5arrej	nan	تتخرج	تتخرّج	IV2S-IV	تخرّج
22152	.	nan	.	.	PUNC	PUNC
22153	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22154	ahawka	arabizi	اهوكا	ا+هو+كا	FOCUS_PART+PRON_3MS+PART	هو
22155	radi	arabizi	غادي	غادي	ADV	غادي
22156	,	arabizi	،	،	PUNC	PUNC
22157	bidhabt	arabizi	بالضبط	ب+ال+ضبط	[PREP+DET+NOUN]ADV	ضبط
22158	9oddem	arabizi	قدام	قدام	ADV	قدام
22159	lbirou	arabizi	البيرو	ال+بيرو	DET+NOUN	بيرو
22160	mte3	arabizi	متاع	متاع	PREP	متاع
22161	lirchadat	arabizi	الارشادات	ال+ارشادات	DET+NOUN-NSUFF_FEM_PL	إرشاد
22162	essya7iyya	arabizi	السياحية	ال+سياحيّة	DET+ADJ-NSUFF_FEM_SG	سياحيّ
22163	.	arabizi	.	.	PUNC	PUNC
22164	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22165	3omri	arabizi	عمري	عمر+ي	[NOUN+POSS_PRON_1S]ADV	عمري
22166	ma	arabizi	ما	ما	NEG_PART	ما
22167	sma3t	arabizi	سمعت	سمعت	PV-PVSUFF_SUBJ:1S	سمع
22168	beledrisa	arabizi	بالادريسة	ب+ال+ادريسة	PREP+DET+NOUN-NSUFF_FEM_SG	ادريسة
22169	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
22170	houni	arabizi	هوني	هوني	ADV	هنا
22171	.	arabizi	.	.	PUNC	PUNC
22172	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22173	emchi	arabizi	امشي	امشي	CV2S-CV	مشى
22174	toul	arabizi	طول	طول	ADV	طول
22175	toul	arabizi	طول	طول	ADV	طول
22176	7atta	arabizi	حتّى	حتّى	ADV	حتّى
22177	lin	arabizi	لين	لين	SUB_CONJ	لين
22178	tchouf	arabizi	تشوف	تشوف	IV3FS-IV	شاف
22179	saydaliyya	arabizi	صيدلية	صيدلية	NOUN-NSUFF_FEM_SG	صيدلية
22180	.	arabizi	.	.	PUNC	PUNC
22181	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22182	b9adech	arabizi	بقداش	ب+قدّاش	PREP+INTERROG_ADV	قدّاش
22183	Ftour	arabizi	فطور	فطور	NOUN	فطور
22184	essbe7	arabizi	الصباح	ال+صباح	DET+NOUN	صباح
22185	?	arabizi	؟	؟	PUNC	PUNC
22186	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22187	kifech	arabizi	كيفاش	كيفاش	INTERROG_ADV	كيفاش
22188	njem	arabizi	ننجم	ننجّم	IV1S-IV	نجّم
22189	n3ewnk	arabizi	نعاونك	نعاون+ك	IV1S-IV+IVSUFF_DO:2S	عاون
22190	?	arabizi	؟	؟	PUNC	PUNC
22191	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22192	dour	arabizi	دور	دور	CV2S-CV	دار
22193	eddoura	arabizi	الدورة	ال+دورة	DET+NOUN-NSUFF_FEM_SG	دورة
22194	ettheltha	arabizi	الثالثة	ال+ثالثة	DET+ADJ_NUM-NSUFF_FEM_SG	ثالث
22195	3alisar	arabizi	عاليسار	ع+ال+يسار	PREP+DET+NOUN	يسار
22196	.	arabizi	.	.	PUNC	PUNC
22197	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22198	t7eb	arabizi	تحب	تحبّ	IV2S-IV	حبّ
22199	krima	arabizi	كريمة	كريمة	NOUN-NSUFF_FEM_SG	كريمة
22200	wsokkar	arabizi	وسكر	و+سكّر	CONJ+NOUN	سكّر
22201	fi	arabizi	في	في	PREP	في
22202	9hawtek	arabizi	قهوتك	قهوة+ك	NOUN-NSUFF_FEM_SG+POSS_PRON_2S	قهوة
22203	?	arabizi	؟	؟	PUNC	PUNC
22204	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22205	tnajjem	arabizi	تنجم	تنجّم	IV2S-IV	نجّم
22206	tsobbli	arabizi	تصب لي	تصبّ+ل+ي	IV2S-IV+[PREP+PRON_1S]IVSUFF_IO:1S	صبّ
22207	helchak	arabizi	هالشاك	ها+ال+شاك	DEM_PRON+DET+NOUN	شاك
22208	bmitin	arabizi	بميتين	ب+ميتين	PREP+NOUN_NUM	ميتين
22209	doular	arabizi	دولار	دولار	NOUN	دولار
22210	mta3i	arabizi	متاعي	متاع+ي	PREP+PRON_1S	متاع
22211	?	arabizi	؟	؟	PUNC	PUNC
22212	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22213	Lou	arabizi	لو	لو	NOUN_PROP	لو
22214	lazem	arabizi	لازم	لازم	PART	لازم
22215	yodhhor	arabizi	يظهر	يظهر	IV3MS-IV	ظهر
22216	,	arabizi	،	،	PUNC	PUNC
22217	kallemni	arabizi	كلمني	كلّم+ني	CV2S-CV+CVSUFF_DO:1S	كلّم
22218	y3ichek	arabizi	يعيشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
22219	.	arabizi	.	.	PUNC	PUNC
22220	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22221	Win	arabizi	ويني	ويني	INTERROG_ADV	وين
22222	el9ahwa	arabizi	القهوة	ال+قهوة	DET+NOUN-NSUFF_FEM_SG	قهوة
22223	?	arabizi	؟	؟	PUNC	PUNC
22224	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22225	n7eb	arabizi	نحب	نحبّ	IV1S-IV	حبّ
22226	Marioul	arabizi	مريول	مريول	NOUN	مريول
22227	mte3	arabizi	متاع	متاع	PREP	متاع
22228	sghar	arabizi	صغار	صغار	ADJ	صغير
22229	.	arabizi	.	.	PUNC	PUNC
22230	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22231	behi	arabizi	باهي	باهي	ADV	باهي
22232	.	arabizi	.	.	PUNC	PUNC
22233	mrasla	arabizi	مراسلة	مراسلة	NOUN-NSUFF_FEM_SG	مراسلة
22234	3adiya	arabizi	عادية	عادية	ADJ-NSUFF_FEM_SG	عادي
22235	b5amsa	arabizi	بخمسة	ب+خمسة	PREP+NOUN_NUM	خمسة
22236	wthmanin	arabizi	وثمانين	و+ثمانين	CONJ+NOUN_NUM	ثمانين
22237	sent	arabizi	سنت	سنت	NOUN	سنت
22238	wzayda	arabizi	وزايدة	و+زايدة	CONJ+NOUN-NSUFF_FEM_SG	زايدة
22239	thletha	arabizi	ثلاثة	ثلاثة	NOUN_NUM	ثلاثة
22240	doularat	arabizi	دولارات	دولارات	NOUN-NSUFF_FEM_PL	دولار
22241	bidhabt	arabizi	بالضبط	ب+ال+ضبط	[PREP+DET+NOUN]ADV	ضبط
22242	lelmrasla	arabizi	للمراسلة	ل+ال+مراسلة	PREP+DET+NOUN-NSUFF_FEM_SG	مراسلة
22243	elli	arabizi	اللي	اللي	REL_PRON	اللي
22244	men	arabizi	من	من	PREP	من
22245	ennou3	arabizi	النوع	ال+نوع	DET+NOUN	نوع
22246	l5as	arabizi	الخاص	ال+خاص	DET+ADJ	خاص
22247	.	arabizi	.	.	PUNC	PUNC
22248	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22249	Ena	arabizi	انا	انا	PRON_1S	هو
22250	fi	arabizi	في	في	PREP	في
22251	blastek	arabizi	بلاصتك	بلاصة+ك	NOUN-NSUFF_FEM_SG+POSS_PRON_2S	بلاصة
22252	nechrih	arabizi	نشريه	نشري+ه	IV1S-IV+IVSUFF_DO:3MS	شرى
22253	.	arabizi	.	.	PUNC	PUNC
22254	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22255	bech	arabizi	باش	باش	FUT_PART	باش
22256	nel9a	arabizi	نلقى	نلقى	IV1S-IV	لقى
22257	mochkla	arabizi	مشكلة	مشكلة	NOUN-NSUFF_FEM_SG	مشكلة
22258	m3a	arabizi	مع	مع	PREP	مع
22259	eddiwana	arabizi	الديوانة	ال+ديوانة	DET+NOUN-NSUFF_FEM_SG	ديوانة
22260	?	arabizi	؟	؟	PUNC	PUNC
22261	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22262	tbi3ou	arabizi	تبيعوا	تبيعوا	IV2P-IV-IVSUFF_SUBJ:P	باع
22263	sbabet	arabizi	صبابط	صبابط	NOUN	صبّاط
22264	resmiya	arabizi	رسمية	رسمية	ADJ-NSUFF_FEM_SG	رسمي
22265	ykounou	arabizi	يكونوا	يكونوا	IV3P-IV-IVSUFF_SUBJ:P	كان
22266	was3in	arabizi	واسعين	واسعين	ADJ-NSUFF_MASC_PL	واسع
22267	men	arabizi	من	من	PREP	من
22268	chira	arabizi	شيرة	شيرة	NOUN-NSUFF_FEM_SG	شيرة
22269	essweba3	arabizi	الصوابع	ال+صوابع	DET+NOUN	صبع
22270	?	arabizi	؟	؟	PUNC	PUNC
22271	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22272	le	arabizi	لا	لا	NEG_PART	لا
22273	.	arabizi	.	.	PUNC	PUNC
22274	t7eb	arabizi	تحب	تحبّ	IV2S-IV	حبّ
22275	bit	arabizi	بيت	بيت	NOUN	بيت
22276	fiha	arabizi	فيها	في+ها	PREP+PRON_3FS	في
22277	zouz	arabizi	زوز	زوز	NOUN_NUM	زوز
22278	frouchet	arabizi	فروشات	فروشات	NOUN-NSUFF_FEM_PL	فرش
22279	n7asbouha	arabizi	نحسبوها	نحسبوا+ها	IV1P-IV-IVSUFF_SUBJ:P+IVSUFF_DO:3FS	حسب
22280	lach5as	arabizi	لشخص	ل+شخص	PREP+NOUN	شخص
22281	berek	arabizi	برك	برك	ADV	برك
22282	?	arabizi	؟	؟	PUNC	PUNC
22283	3anna	arabizi	عننا	عند+نا	PREP+PRON_1P	عند
22284	wa7da	arabizi	واحدة	واحدة	ADJ-NSUFF_FEM_SG	واحد
22285	.	arabizi	.	.	PUNC	PUNC
22286	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22287	n7ebb	arabizi	نحب	نحبّ	IV1S-IV	حبّ
22288	birmnoun	arabizi	بيرمنون	بيرمنون	NOUN	بيرمنون
22289	9ouyya	arabizi	قوية	قويّة	ADJ-NSUFF_FEM_SG	قويّ
22290	,	arabizi	،	،	PUNC	PUNC
22291	y3ichek	arabizi	يعيشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
22292	.	arabizi	.	.	PUNC	PUNC
22293	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22294	t7eb	arabizi	تحب	تحبّ	IV2S-IV	حبّ
22295	ka3ba	arabizi	كعبة	كعبة	NOUN-NSUFF_FEM_SG	كعبة
22296	bira	arabizi	بيرة	بيرة	NOUN-NSUFF_FEM_SG	بيرة
22297	.	arabizi	.	.	PUNC	PUNC
22298	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22299	sbe7	arabizi	صباح	صباح	[NOUN]INTERJ	صباح
22300	il5ir	arabizi	الخير	ال+خير	[DET+NOUN]INTERJ	خير
22301	.	arabizi	.	.	PUNC	PUNC
22302	le	arabizi	لا	لا	NEG_PART	لا
22303	bas	arabizi	باس	باس	NOUN	باس
22304	?	arabizi	؟	؟	PUNC	PUNC
22305	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22306	sama7ni	arabizi	سامحني	سامح+ني	CV2S-CV+CVSUFF_DO:1S	سامح
22307	lézémni	arabizi	لازمني	لازم+ني	PART+PRON_1S	لازم
22308	nchuf	arabizi	نشوف	نشوف	IV1S-IV	شاف
22309	oura9ek	arabizi	اوراقك	اوراق+ك	NOUN+POSS_PRON_2S	ورقة
22310	.	arabizi	.	.	PUNC	PUNC
22311	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22312	chnowa	arabizi	شنوا	شنوا	INTERROG_PRON	شنوّة
22313	essous	arabizi	الصوص	ال+صوص	DET+NOUN	صوص
22314	?	arabizi	؟	؟	PUNC	PUNC
22315	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22316	hedha	arabizi	هذا	هذا	DEM_PRON_3MS	هاذا
22317	bered	arabizi	بارد	بارد	ADJ	بارد
22318	chwayya	arabizi	شوية	شوية	ADV	شويّة
22319	.	arabizi	.	.	PUNC	PUNC
22320	bech	arabizi	باش	باش	FUT_PART	باش
22321	tsa5nou	arabizi	تسخنه	تسخن+ه	IV2S-IV+IVSUFF_DO:3MS	سخن
22322	?	arabizi	؟	؟	PUNC	PUNC
22323	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22324	sama7ni	arabizi	سامحني	سامح+ني	CV2S-CV+CVSUFF_DO:1S	سامح
22325	,	arabizi	،	،	PUNC	PUNC
22326	fama	arabizi	فما	فما	PSEUDO_VERB	فمّة
22327	chkoun	arabizi	شكون	شكون	PRON_INDEF	شكون
22328	fi	arabizi	في	في	PREP	في
22329	ilblasa	arabizi	البلاصة	ال+بلاصة	DET+NOUN-NSUFF_FEM_SG	بلاصة
22330	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
22331	.	arabizi	.	.	PUNC	PUNC
22332	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22333	Ena	arabizi	انا	انا	PRON_1S	هو
22334	le	arabizi	لا	لا	NEG_PART	لا
22335	bes	arabizi	باس	باس	NOUN	باس
22336	.	arabizi	.	.	PUNC	PUNC
22337	ama	arabizi	اما	اما	CONJ	اما
22338	miselch	arabizi	ما يسالش	ما+يسال+ش	NEG_PART+IV3MS-IV+NEG_PART	سال
22339	tkallem	arabizi	تكلم	تكلّم	IV2S-IV	كلّم
22340	sa7bi	arabizi	صاحبي	صاحب+ي	NOUN+POSS_PRON_1S	صاحب
22341	?	arabizi	؟	؟	PUNC	PUNC
22342	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22343	chokran	arabizi	شكرا	شكرا	INTERJ	شكرا
22344	,	arabizi	،	،	PUNC	PUNC
22345	izi	arabizi	يزي	يزي	CV2S-CV	يزّي
22346	.	arabizi	.	.	PUNC	PUNC
22347	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22348	chkoun	arabizi	شكون	شكون	PRON_INDEF	شكون
22349	a3az	arabizi	اعز	اعزّ	ADJ_COMP	عزيز
22350	sadi9	arabizi	صديق	صديق	NOUN	صديق
22351	3andik	arabizi	عندك	عند+ك	PREP+PRON_2S	عند
22352	?	arabizi	؟	؟	PUNC	PUNC
22353	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22354	youm	arabizi	يوم	يوم	NOUN	يوم
22355	ess7a	arabizi	الصحة	ال+صحّة	DET+NOUN-NSUFF_FEM_SG	صحّة
22356	werriadha	arabizi	والرياضة	و+ال+رياضة	CONJ+DET+NOUN-NSUFF_FEM_SG	رياضة
22357	3achra	arabizi	عشرة	عشرة	NOUN_NUM	عشرة
22358	Octobre	arabizi	اكتوبر	اكتوبر	NOUN_PROP	اكتوبر
22359	houwa	arabizi	هو	هو	PRON_3MS	هو
22360	youm	arabizi	يوم	يوم	NOUN	يوم
22361	watani	arabizi	وطني	وطني	ADJ	وطني
22362	lahdef	arabizi	الهدف	ال+هدف	DET+NOUN	هدف
22363	menou	arabizi	منه	من+ه	PREP+PRON_3MS	من
22364	tad3im	arabizi	تدعيم	تدعيم	NOUN	تدعيم
22365	sa7	arabizi	صحة	صحّة	NOUN-NSUFF_FEM_SG	صحّة
22366	la3bed	arabizi	العباد	ال+عباد	DET+NOUN	عبد
22367	.	arabizi	.	.	PUNC	PUNC
22368	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22369	t7ebni	arabizi	تحبني	تحبّ+ني	IV2S-IV+IVSUFF_DO:1S	حبّ
22370	nchuf	arabizi	نشوف	نشوف	IV1S-IV	شاف
22371	ta7t	arabizi	تحت	تحت	PREP	تحت
22372	lkobout	arabizi	الكبوت	ال+كبوت	DET+NOUN	كبوت
22373	?	arabizi	؟	؟	PUNC	PUNC
22374	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22375	t3awenni	arabizi	تعاوني	تعاون+ني	IV2S-IV+IVSUFF_DO:1S	عاون
22376	bech	arabizi	باش	باش	FUT_PART	باش
22377	nel9a	arabizi	نلقى	نلقى	IV1S-IV	لقى
22378	felijti	arabizi	فاليجتي	فليجة+ي	NOUN-NSUFF_FEM_SG+POSS_PRON_1S	فليجة
22379	?	arabizi	؟	؟	PUNC	PUNC
22380	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22381	men	arabizi	من	من	PREP	من
22382	fadhlek	arabizi	فضلك	فضل+ك	NOUN+POSS_PRON_2S	فضل
22383	a3mel	arabizi	اعمل	اعمل	CV2S-CV	عمل
22384	etta7dhirat	arabizi	التحضيرات	ال+تحضيرات	DET+NOUN-NSUFF_FEM_PL	تحضير
22385	lezma	arabizi	اللازمة	ال+لازمة	DET+ADJ-NSUFF_FEM_SG	لازمة
22386	belmsabe9	arabizi	بالمسبق	ب+ال+مسبق	PREP+DET+NOUN	مسبق
22387	?	arabizi	؟	؟	PUNC	PUNC
22388	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22389	fama	arabizi	فما	فما	PSEUDO_VERB	فمّة
22390	chkoun	arabizi	شكون	شكون	PRON_INDEF	شكون
22391	lehi	arabizi	لاهي	لاهي	ADJ	لاهي
22392	bi	arabizi	بي	ب+ي	PREP+PRON_1S	ب
22393	.	arabizi	.	.	PUNC	PUNC
22394	y3ichek	arabizi	يعيشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
22395	.	arabizi	.	.	PUNC	PUNC
22396	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22397	kif	arabizi	كيف	كيف	SUB_CONJ	كيف
22398	toussel	arabizi	توصل	توصل	IV2S-IV	وصل
22399	radi	arabizi	غادي	غادي	ADV	غادي
22400	,	arabizi	،	،	PUNC	PUNC
22401	es2el	arabizi	اسأل	اسأل	CV2S-CV	سأل
22402	chkoun	arabizi	شكون	شكون	PRON_INDEF	شكون
22403	e5er	arabizi	آخر	اخر	ADJ	آخر
22404	,	arabizi	،	،	PUNC	PUNC
22405	y3ichek	arabizi	يعيشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
22406	.	arabizi	.	.	PUNC	PUNC
22407	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22408	7ashti	arabizi	حاشتي	حاشة+ي	NOUN-NSUFF_FEM_SG+POSS_PRON_1S	حاجة
22409	bettamdid	arabizi	بالتمديد	ب+ال+تمديد	PREP+DET+NOUN	تمديد
22410	arb3a	arabizi	اربعة	اربعة	NOUN_NUM	اربعة
22411	w3achrin	arabizi	وعشرين	و+عشرين	CONJ+NOUN_NUM	عشرين
22412	,	arabizi	،	،	PUNC	PUNC
22413	men	arabizi	من	من	PREP	من
22414	fadhlek	arabizi	فضلك	فضل+ك	NOUN+POSS_PRON_2S	فضل
22415	.	arabizi	.	.	PUNC	PUNC
22416	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22417	tfaddhl	arabizi	تفضل	تفضل	CV2S-CV	فضل
22418	zouz	arabizi	زوز	زوز	NOUN_NUM	زوز
22419	doularat	arabizi	دولارات	دولارات	NOUN-NSUFF_FEM_PL	دولار
22420	.	arabizi	.	.	PUNC	PUNC
22421	5alli	arabizi	خلي	خلّي	CV2S-CV	خلّى
22422	lbe9i	arabizi	الباقي	ال+باقي	DET+ADJ	باقي
22423	3andik	arabizi	عندك	عند+ك	PREP+PRON_2S	عند
22424	.	arabizi	.	.	PUNC	PUNC
22425	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22426	a3tini	arabizi	اعطيني	اعطي+ني	CV2S-CV+CVSUFF_DO:1S	عطى
22427	wehed	arabizi	واحد	واحد	NOUN_NUM	واحد
22428	burgher	arabizi	برغر	برغر	NOUN	برغر
22429	wwehed	arabizi	وواحد	و+واحد	CONJ+NOUN_NUM	واحد
22430	chiz	arabizi	شيز	شيز	NOUN	شيز
22431	burgher	arabizi	برغر	برغر	NOUN	برغر
22432	,	arabizi	،	،	PUNC	PUNC
22433	y3ichek	arabizi	يعيشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
22434	.	arabizi	.	.	PUNC	PUNC
22435	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22436	b9adech	arabizi	بقداش	ب+قدّاش	PREP+INTERROG_ADV	قدّاش
22437	te7seb	arabizi	تحسب	تحسب	IV2S-IV	حسب
22438	lijra2et	arabizi	الاجراءات	ال+اجراءات	DET+NOUN-NSUFF_FEM_PL	اجراء
22439	?	arabizi	؟	؟	PUNC	PUNC
22440	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22441	kol	arabizi	كل	كلّ	NOUN_QUANT	كلّ
22442	wehed	arabizi	واحد	واحد	PRON_INDEF	واحد
22443	y7eb	arabizi	يحب	يحب	IV3MS-IV	حبّ
22444	y5alles	arabizi	يخلص	يخلّص	IV3MS-IV	خلّص
22445	wahdou	arabizi	وحده	وحد+ه	ADV+PRON_3MS	واحد
22446	.	arabizi	.	.	PUNC	PUNC
22447	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22448	ken	arabizi	كان	كان	PV-PVSUFF_SUBJ:3MS	كان
22449	mawjoud	arabizi	موجود	موجود	ADJ	موجود
22450	ala	arabizi	على	على	PREP	على
22451	korsi	arabizi	كرسي	كرسي	NOUN	كرسي
22452	fi	arabizi	في	في	PREP	في
22453	leste9bel	arabizi	الاستقبال	ال+استقبال	DET+NOUN	استقبال
22454	.	arabizi	.	.	PUNC	PUNC
22455	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22456	asrafli	arabizi	اصرف لي	اصرف+ل+ي	CV2S-CV+[PREP+PRON_1S]CVSUFF_IO:1S	صرف
22457	helyen	arabizi	هاليان	ها+ال+يان	DEM_PRON+DET+NOUN_PROP	يان
22458	ljnih	arabizi	لجنيه	ل+جنيه	PREP+NOUN_PROP	جنيه
22459	men	arabizi	من	من	PREP	من
22460	fadhlek	arabizi	فضلك	فضل+ك	NOUN+POSS_PRON_2S	فضل
22461	.	arabizi	.	.	PUNC	PUNC
22462	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22463	a3tini	arabizi	اعطيني	اعطي+ني	CV2S-CV+CVSUFF_DO:1S	عطى
22464	9maous	arabizi	قاموس	قاموس	NOUN	قاموس
22465	ejjib	arabizi	الجيب	ال+جيب	DET+NOUN	جيب
22466	,	arabizi	،	،	PUNC	PUNC
22467	y3ichek	arabizi	يعيشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
22468	.	arabizi	.	.	PUNC	PUNC
22469	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
22470	lzouz	arabizi	لزوز	ل+زوز	PREP+NOUN_NUM	زوز
22471	mennes	arabizi	مالناس	م+ال+ناس	PREP+DET+NOUN	ناس
22472	m3a	arabizi	مع	مع	PREP	مع
22473	essab3a	arabizi	السبعة	ال+سبعة	DET+NOUN_NUM	سبعة
22474	.	arabizi	.	.	PUNC	PUNC
22475	lesm	arabizi	الاسم	ال+اسم	DET+NOUN	اسم
